epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,97.2934,0.76738,0.98547,1,1.07059,0.00332831,0.00332831,0.00332831
2,190.132,0.12091,0.99169,1,1.05611,0.00665834,0.00665834,0.00665834
3,280.894,0.10622,0.98207,1,1.06634,0.00998508,0.00998508,0.00998508
4,371.535,0.10606,0.98943,1,1.05857,0.00998515,0.00998515,0.00998515
5,462.258,0.07983,0.98943,1,1.05633,0.0099802,0.0099802,0.0099802
6,552.9,0.06421,0.99094,1,1.05408,0.00997525,0.00997525,0.00997525
7,643.653,0.06475,0.99188,1,1.05382,0.0099703,0.0099703,0.0099703
8,734.31,0.06004,0.99245,1,1.05333,0.00996535,0.00996535,0.00996535
9,824.943,0.05309,0.99302,1,1.05277,0.0099604,0.0099604,0.0099604
10,915.69,0.05348,0.99339,1,1.05288,0.00995545,0.00995545,0.00995545
11,1006.4,0.0542,0.99169,1,1.0533,0.0099505,0.0099505,0.0099505
12,1096.96,0.05038,0.99283,1,1.05346,0.00994555,0.00994555,0.00994555
13,1187.67,0.05179,0.99283,1,1.0521,0.0099406,0.0099406,0.0099406
14,1278.41,0.04946,0.99377,1,1.05266,0.00993565,0.00993565,0.00993565
15,1369.09,0.04898,0.99415,1,1.05222,0.0099307,0.0099307,0.0099307
16,1459.64,0.04987,0.99321,1,1.05229,0.00992575,0.00992575,0.00992575
17,1550.26,0.04471,0.99358,1,1.05156,0.0099208,0.0099208,0.0099208
18,1640.94,0.05094,0.99434,1,1.05122,0.00991585,0.00991585,0.00991585
19,1731.65,0.04294,0.99396,1,1.05112,0.0099109,0.0099109,0.0099109
20,1822.3,0.04862,0.99358,1,1.05184,0.00990595,0.00990595,0.00990595
21,1913.03,0.04962,0.99302,1,1.05169,0.009901,0.009901,0.009901
22,2003.67,0.04422,0.99434,1,1.05113,0.00989605,0.00989605,0.00989605
23,2094.53,0.04601,0.99528,1,1.05086,0.0098911,0.0098911,0.0098911
24,2185.21,0.0447,0.99434,1,1.05064,0.00988615,0.00988615,0.00988615
25,2275.87,0.05017,0.99453,1,1.05129,0.0098812,0.0098812,0.0098812
26,2366.54,0.04133,0.9949,1,1.05029,0.00987625,0.00987625,0.00987625
27,2457.26,0.03928,0.9949,1,1.05036,0.0098713,0.0098713,0.0098713
28,2547.95,0.04346,0.99547,1,1.05018,0.00986635,0.00986635,0.00986635
29,2638.79,0.04354,0.99585,1,1.04948,0.0098614,0.0098614,0.0098614
30,2729.45,0.0469,0.99528,1,1.05003,0.00985645,0.00985645,0.00985645
31,2820.13,0.04219,0.99471,1,1.05013,0.0098515,0.0098515,0.0098515
32,2910.74,0.04818,0.99509,1,1.05015,0.00984655,0.00984655,0.00984655
33,3001.4,0.04271,0.99415,1,1.05015,0.0098416,0.0098416,0.0098416
34,3091.97,0.04465,0.99471,1,1.05016,0.00983665,0.00983665,0.00983665
35,3182.58,0.04189,0.99453,1,1.04984,0.0098317,0.0098317,0.0098317
36,3273.12,0.04434,0.99471,1,1.04991,0.00982675,0.00982675,0.00982675
37,3363.68,0.04928,0.9949,1,1.04991,0.0098218,0.0098218,0.0098218
38,3454.08,0.04413,0.99509,1,1.04984,0.00981685,0.00981685,0.00981685
39,3544.59,0.04126,0.99566,1,1.04965,0.0098119,0.0098119,0.0098119
40,3635.04,0.04946,0.99547,1,1.04964,0.00980695,0.00980695,0.00980695
41,3725.51,0.05237,0.99471,1,1.04989,0.009802,0.009802,0.009802
42,3815.97,0.04289,0.99509,1,1.04986,0.00979705,0.00979705,0.00979705
43,3906.38,0.04685,0.9949,1,1.04991,0.0097921,0.0097921,0.0097921
44,3996.84,0.04419,0.99509,1,1.04992,0.00978715,0.00978715,0.00978715
45,4087.4,0.04855,0.99509,1,1.04983,0.0097822,0.0097822,0.0097822
46,4177.87,0.04216,0.99509,1,1.04986,0.00977725,0.00977725,0.00977725
47,4268.33,0.04453,0.99528,1,1.04989,0.0097723,0.0097723,0.0097723
48,4358.69,0.04241,0.99528,1,1.04975,0.00976735,0.00976735,0.00976735
49,4449.14,0.04494,0.99528,1,1.0497,0.0097624,0.0097624,0.0097624
50,4539.65,0.04161,0.99528,1,1.04976,0.00975745,0.00975745,0.00975745
51,4630.17,0.04,0.99528,1,1.04975,0.0097525,0.0097525,0.0097525
52,4720.54,0.0464,0.99528,1,1.04975,0.00974755,0.00974755,0.00974755
53,4811.08,0.05056,0.99528,1,1.04969,0.0097426,0.0097426,0.0097426
54,4901.53,0.04683,0.99509,1,1.04963,0.00973765,0.00973765,0.00973765
55,4992.05,0.04328,0.99509,1,1.04969,0.0097327,0.0097327,0.0097327
56,5082.39,0.04376,0.99528,1,1.04966,0.00972775,0.00972775,0.00972775
57,5172.77,0.04516,0.99528,1,1.04965,0.0097228,0.0097228,0.0097228
58,5285.49,0.04373,0.9949,1,1.04965,0.00971785,0.00971785,0.00971785
59,5378.8,0.04613,0.9949,1,1.0497,0.0097129,0.0097129,0.0097129
